Designator,Mid X,Mid Y,Rotation,Layer
C1,210.1,-94.6,0.0,top
C10,208.7,-107.2,180.0,top
C11,221.25,-98.88,90.0,top
C14,220.8,-103.23,270.0,top
C15,224.5,-103.12,90.0,top
C16,226.75,-103.15,0.0,top
C17,207.2,-96.0,90.0,top
C18,203.7,-106.1,270.0,top
C19,215.65,-111.8,180.0,top
C2,208.928,-121.964282,90.0,top
C20,221.8,-103.22,270.0,top
C22,213.628,-121.239282,180.0,top
C3,213.548,-127.839282,0.0,top
C4,210.608,-121.139282,180.0,top
C5,223.228,-121.532,0.0,top
C6,227.448,-122.332,180.0,top
C7,203.85,-110.2,270.0,top
C8,220.45,-95.65,90.0,top
C9,221.55,-96.63,270.0,top
D1,218.928,-125.439282,180.0,top
D2,204.4,-91.2,0.0,top
D3,210.35,-110.45,90.0,top
D4,215.9,-120.1,90.0,top
D5,206.15,-103.3375,270.0,top
D6,208.5,-101.2,0.0,top
D7,224.7,-88.2625,270.0,top
D8,207.9,-89.7,90.0,top
D9,221.1,-88.45,270.0,top
IC1,213.528,-124.539282,180.0,top
IC2,225.228,-125.632,0.0,top
IC3,207.1,-110.22,0.0,top
IC4,219.4,-98.3,270.0,top
IC5,223.4,-111.85,270.0,top
IC6,204.8,-99.6,0.0,top
J1,215.0,-89.925,180.0,top
J6,231.55,-89.35,180.0,top
LED1,213.75,-98.2,180.0,top
Q2,202.98,-116.55,270.0,top
R1,213.25,-94.5,270.0,top
R10,222.85,-103.24,270.0,top
R11,227.45,-121.273282,180.0,top
R12,203.0,-112.4,0.0,top
R13,218.34,-121.15,0.0,top
R14,206.2,-96.02,90.0,top
R15,204.5,-89.6,0.0,top
R16,207.96,-98.8,0.0,top
R17,204.85,-113.1,270.0,top
R18,204.18,-96.05,90.0,top
R2,216.3,-94.49,270.0,top
R20,208.04,-102.55,0.0,top
R21,209.1,-99.9,0.0,top
R22,210.25,-96.65,90.0,top
R23,202.7,-102.74,270.0,top
R24,204.7,-102.75,90.0,top
R25,205.2,-96.05,90.0,top
R26,203.7,-102.75,270.0,top
R28,205.7,-93.5,0.0,top
R29,223.4,-89.8375,270.0,top
R3,209.228,-126.349282,90.0,top
R30,222.4,-89.8625,90.0,top
R35,202.99,-113.45,180.0,top
R4,209.228,-124.439282,90.0,top
R5,218.32,-122.2,180.0,top
R6,220.438,-127.532,0.0,top
R9,220.2,-121.75,90.0,top
S1,211.25,-115.2,0.0,top
S2,229.1,-99.25,180.0,top
TH1,203.18,-96.05,90.0,top
U1,219.1,-101.084834,0.0,top
U3,215.0,-103.0,180.0,bottom
