Designator,Mid X,Mid Y,Rotation,Layer
C1,210.1,-94.6,0.0,top
C10,208.7,-107.2,180.0,top
C11,222.3,-91.65,270.0,top
C12,223.95,-95.7,0.0,top
C13,223.95,-93.6,0.0,top
C14,224.5,-103.19,270.0,top
C15,226.628,-102.988718,90.0,top
C16,228.928,-103.008718,0.0,top
C17,207.2,-96.0,90.0,top
C18,203.7,-106.1,270.0,top
C19,219.0,-120.1,0.0,top
C2,208.928,-125.741,90.0,top
C20,225.2,-101.22,270.0,top
C21,206.6,-115.1,90.0,top
C22,213.628,-125.016,180.0,top
C25,206.4,-120.6,90.0,top
C26,204.2,-119.7,0.0,top
C27,204.6,-113.0,270.0,top
C28,203.0,-113.5,0.0,top
C3,213.548,-131.616,0.0,top
C4,210.608,-124.916,180.0,top
C5,223.228,-125.308718,0.0,top
C6,227.448,-126.108718,180.0,top
C7,203.85,-110.2,270.0,top
C8,213.09,-119.4,90.0,top
D1,218.928,-129.216,180.0,top
D2,204.4,-91.2,0.0,top
D3,210.35,-110.45,90.0,top
D4,218.9,-124.0,0.0,top
D5,206.15,-103.3375,270.0,top
D6,208.5,-101.2,0.0,top
D7,234.4,-95.4,0.0,top
D8,207.9,-89.7,90.0,top
D9,231.1,-95.4,180.0,top
FID1,235.8,-96.8,180.0,bottom
IC1,213.528,-128.316,180.0,top
IC2,225.228,-129.408718,0.0,top
IC3,207.1,-110.22,0.0,top
IC4,224.5,-90.1875,180.0,top
IC5,225.128,-111.808718,270.0,top
IC6,204.8,-99.6,0.0,top
IC7,215.79,-119.9,180.0,top
J1,215.0,-89.925,180.0,top
J6,234.5,-89.2,180.0,top
LED1,214.1,-106.7,180.0,top
MK1,210.1,-120.2,90.0,top
Q1,216.7,-110.5,90.0,top
Q2,230.3,-121.08,180.0,top
R1,216.99,-122.4,0.0,top
R10,223.5,-103.19,270.0,top
R11,227.45,-125.05,180.0,top
R12,203.0,-112.4,0.0,top
R13,216.828,-124.208718,90.0,top
R14,206.2,-96.02,90.0,top
R15,204.5,-89.6,0.0,top
R16,207.96,-98.8,0.0,top
R17,206.6,-113.1,270.0,top
R18,204.18,-96.05,90.0,top
R2,214.59,-122.4,180.0,top
R20,208.04,-102.55,0.0,top
R21,209.1,-99.9,0.0,top
R22,210.5,-105.2,90.0,top
R23,202.7,-102.74,270.0,top
R24,204.7,-102.75,90.0,top
R25,205.2,-96.05,90.0,top
R26,203.7,-102.75,270.0,top
R27,204.8,-99.5,270.0,bottom
R28,205.7,-93.5,0.0,top
R29,234.5,-94.1,180.0,top
R3,209.228,-130.126,90.0,top
R30,231.0,-94.1,180.0,top
R31,204.21,-120.7,180.0,top
R32,204.19,-118.7,0.0,top
R33,206.6,-117.11,90.0,top
R34,205.6,-113.01,90.0,top
R35,233.4,-121.09,90.0,top
R4,209.228,-128.216,90.0,top
R5,218.328,-127.716,180.0,top
R6,220.438,-131.308718,0.0,top
R7,216.91,-94.1,180.0,top
R8,213.05,-94.1,0.0,top
R9,220.228,-126.308718,90.0,top
S1,213.0,-115.2,0.0,top
S2,231.25,-99.1,180.0,top
TH1,203.18,-96.05,90.0,top
U1,214.875,-96.575,0.0,top
U3,215.2,-106.75,180.0,bottom
U4,204.3,-116.1,90.0,top
