Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C19, C3, C5, C8",0402,7,100n,C307331
"C13, C15, C16, C7",0805,4,10u,C15850
C14,0402,1,1n,C1523
"C17, C20, C9",0402,3,1u,C52923
"C18, C6",1206,2,4.7u,C29823
C2,0603,1,470p,C1620 
C4,0402,1,10n,C15195
D1,D_SOD-323F,1,1N4148WS,C2128
"D10, D11, D2, D8",0603,4,Green_0603,C72043
D9,B5819WSL,1,B5819W.SL,C8598
IC1,SOIC127P600X175-8N,1,NE555DR,C7593
IC2,SOIC127P600X175-8N,1,LM358DR2G,C7950
IC3,ESP32C6MINI1N4,1,ESP32-C6-MINI-1-N4,C5736265
IC4,AHT20,1,AHT20,C2757850
IC5,QFN50P250X250X100-12N-D,1,TPS63051RMWR,C139412
IC6,QFN50P300X300X100-17N-D,1,BQ24073RGTR,C15220
J1,GT-USB-7010A,1,GT-USB-7010,C963370
J2,SM04BSRSSTBLFSN,1,SM04B-SRSS-TB__LF__SN_,C160404
J3,2060452998404,1,2060-452_998-404,C2765055
L1,0805,1,1.5uH,C2042639
Q1,SOT95P237X125-3N,1,DTC143ECA-TP,
Q2,TEMT6000X01,1,TEMT6000X01,C94098
Q3,DMP3007SFG7,1,DMP3017SFG-7,DMP3017SFG
"R1, R2",0402,2,5.1k,C2906948
R10,0402,1,220,C25091
"R11, R14, R17, R18, R35, R5, R8",0402,7,10k,C25744
"R12, R13",0402,2,1k,C11702
"R16, R6",0402,2,1M,C26083
"R22, R32, R33, R34, R36",0402,5,51k,C25794
"R28, R29, R3",0402,3,1.5k,C25867
"R30, R31, R7",0402,3,2.2k,C25879
R37,0603,1,560k,C23203
R38,0402,1,220k,C25767
R4,0402,1,2.4k,C25882
R9,0402,1,100,C25076
"S1, S2",TS1101CW,2,TS-1101-C-W,C318938
TH2,0402,1,10k_NTC,C333993
"TP1, TP2, TP3",TestPoint_Pad_1.0x1.0mm,3,TestPoint_Alt,
U2,CR2032BS61,1,CR2032-BS-6-1,C70377
